from,to,value,fee
1MqrVbRPWaq158mzpnVnc6cUQ51vJ7j2xV,1GqftMHxijQAui5DmMPxytwLU3M6X6nfjN,61244,29737
1BXtku8ooyz1QwkqQFq1NyfVSJS1yPsdH6,1E6vb7PxUkRySRJ4JtiLNLm2CycYGuMP6s,811000,20321
1E6vb7PxUkRySRJ4JtiLNLm2CycYGuMP6s,3GsWbUG4dqkJ6iLWcAtnbNFfrp6ekQseBU,1969700,49263
199C2C4ZbpkuBrqXM35Jgco9GEtqiKJi8y,3NNRk3rmZ7p9CPWyw3BMsZgozXJLe1BsX6,378040,24860
1771GF19KWFkAG6Gr1Kn8qdZBoAdnzPCLo,38g9Zt7aAb4mEhcGm9gE2m2p4W78S6zQ1V,3987142,24860
1BVDqVkYGQFRNVBeZTx4WYtsajEjGDfdjZ,1E6NMa86ksSGGN38WvCHFZLvMXFGutCEJs,20422878,27122
147tQvanQwxFX1YnTg9EVFXNjtLrutJL5U,1BemK2HVVWZkwzae5kaxQoWFBi8Po4ZcrM,20422687,27313
1E6NMa86ksSGGN38WvCHFZLvMXFGutCEJs,39d61SwpiA58xYBMdif2q3kro2D5FmKTEj,40796893,48672
3GqcWLp4KWiotoR8yscbBz1XxMp4DQVKAm,39tizT9jTNDoQwNTFicKaueArxJ8Hs92Bn,44500,21830
1MkG81QhNY7y1X5TRUnTQ2k9uPpStGxuC8,bc1qpn4ec9w0zvlaeltsgeg5kqkp4750t7sna3e09y,128996,23088
1F9KDKxD1njAvyS5zRghmzfMTeWaeuGHdD,bc1qrm5pfu8xh5tl46f5mxrpujpujvwf7xnq35rgyh,64323,29082
1HjBTkF8V1oe6ap6Hk8gbe4NYUwLAGiVLt,33aUVHPvpCKdXYy5q1F4jkuTRhfs3Rhzga,64800,31163
1EpFLTNr4nsDBy6dio9noSLKz4SYJ6H4DD,bc1qeyg9f544jgkuw8c8w6p2akejrzvqmatfpa4fku,201881,24818
144JCMK7gyPzNURaksDw6mzwAxyjfVkH7M,33EzcrzACweXgnAud3YFRYwnPiWKmTXdDC,1118572,24947
14YJ2UHXvueZatjppguhyCzXcNuTRC8otc,1MW2vaH7t8ogDs5sa7x9kysAhrWX1E173C,6189,68382
16Wd2hvGusnGQeDuAgS6aMT2kQijqSxuB5,1KQajvoLXppeUG7NaJRMHCQf6FeKAKWoRb,275664,29380
1JPAo98mpy3JLMhDNRBuha1Di5wAZ24v5U,3BjSkM8oH3Qm4cfv86WbZ4ssiBkFda1t8h,806,29380
1KTKs27NZvCim9RoCdJScCQQHKuVwbnopL,1KTKs27NZvCim9RoCdJScCQQHKuVwbnopL,34197,29380
1BKKtxfH8ouwuQGeSS9XUzUNQS9hknSrQp,null,0,45982
17ggx29B65KwhMU5PqJeAU11CYNBvkAMN6,1Gc5H31o2fdu6SntTYKCJdptwT1YVRkSZF,175002,29606
1BTEbFToc9so8JZoJjYTVo2pVNPSZubGkS,1FVy6PWQcL6A22UMBR1vu8QtgHNkLMtit8,220008,29606
1C7ckvLT3WRo6iC4J6R6Bd6Q2gPp8sffxQ,3FkkKqFJTekiGRXk3TKbfKRaFSPnkjwJwF,120956,29213
164wFDjucZhmnqwkmRgrqUWfjkWdwDHk75,1FVfVjiMW78CYtPutNfvH15SKbGzTjtqav,100800,29606
1GvdhP8ebTLWm8yEzrZZpLvQ3SMtsuk2wE,17jJpBzVeWWtSquMNWbFRRYanAaSEZX3RS,83797,29606
15RHrWK7emrpHyokWiX6Z8jgdZeXEyuFMs,1NDeyY8sDxG6WguCfcDxnbTAHxUwvK2sBU,35426,29606
1M9rST8EfwB5isuRUAQLAiLKGhhKh2spPW,1G4Gb9mnRCvtWUJLDThf1fnjbdNdrZ713s,690000,29606
1FfwZtLgqADiAoYhxCAfbnmdHsRy74e5WL,368L19zk4nBUBHyQuxkf1FmpXtLZBhjQhg,812722,24880
35tKkHEvjQFSYgmqs7fRWnWaz1d9wUzarJ,37T3o7JvDHejp3kdpJ9AQNYqVvvd7VPBzr,23500000,48051
1QBCp2mHu7VRRH5aBDTxu7xbSfzaF7hs6Q,1BeWHhqhN6QUNmPf69Tksjktf6RHPmcDUb,10170700,23381
1BeWHhqhN6QUNmPf69Tksjktf6RHPmcDUb,1KzeaB7zULELhcJzXCiXPboAPUmi4HvEzc,47089,35256
1FKBmjdGmRqjj77JSc3Y3bTWjnobUBf2ie,34M3YqTYCkaq3Js62BMMcVZG8CMWXf7qnF,3815570,63335
38AVA21QouZsYzE7tBbXXM3vJzGeWRkDdz,bc1q9n89778tcvphh5cuezkupmxdrxzvnwz3as6wv4,587960,27871
1AZLtRzX61qn86X1DkC7wm1iLt595WpASS,31ibVtKqfePUSM69MiCUsUa7EFJAE6FZdX,93235,24860
1PQJpogh9JkKQu1emkgyPNfwCNi5SeQ1NH,37tb5nmoptvUXx8N8vPchWjSgNnQvvKQNr,129144,24860
3CKFvSnA1TEWQ9BdSboSHSEqCK8mAkNZDQ,36G1pABgVg9REiK6U4q2ZQZtjXm2aWFzUm,4626490,21580
1LvC4ncrpLjsrfGCxCEiEGpwDbRN7ejZ7n,16uQhNtq1C5WYTYYF7Y74xFNPRLQEZhBj9,349746,48620
1Cz4grVuMHtzdKi3KuchT8TycZC6vfHejc,bc1qsfv4u4ls3wrqqh00yej6c5ysvrnnc2vvl9h334,119681548,28990
15Ap55vZMnzYgU5cP8tzj18CYE47SzT1Kw,194eEXkaJAGSsVPAxBXvHUwpsUG4DorP8S,405229,29380
1EQhZryBFcLbGu91REWMiLGsKDzNyQ7tEt,12HasuoX6smC9LuLCmxydt1TZn22cCQ9zx,100409,29380
156E1aTnsbY5zpj9EYePjAyaBvpTPtrauc,1KTZ8dPG5GtcPkPdoX46nxhS9sXRXuqWSf,383052,29380
1pBd3m1DpqoAJhuAgFHQQa6cPbiXAXfTP,1JjLMwiewPyHrzTFrVDNz6uJeops6RhiLv,43855,29380
16F6bNuYwnyKS82jZEtqzdXNxDL1LF7Kcc,1FJ363J77ZW9vHhd7Bc7yJJzRJ6SK8jJvG,179436,29510
3A6UMjUgGm3ojNtbstP1xtGMxB5DVaGYVo,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,441456,43998
3LhSYes6yEsAPdANrLyoYYoMPWJgsUCTw2,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,956002,43998
3KFhY6ReAihXB8xVS5XPJSsSBZZrvDvaCa,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,3337002,43998
39xzYvKVNRXE1G98cmRVapGAaxrkAcLHyU,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,99956002,43998
3Da1aG9Ye3f7gWKKQj6zftSzr3mT7XvVxW,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,14751443,43998
34zucatdA9tZEesmiotaipDd2Db6S1eoFG,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,850656,43998
3LQAE2nGsNv88Nd5oTjRfQod9PgbEpEcH3,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,3956002,43998
3GbjJgDs1VYfVXW4SU6YUtwXqom8FXHsDr,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,730832,43998
3Bb57KuWjGzZqrgBdvRWiqxvV8tqEPm5BA,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,956002,43998
19a3Ws1uDZkEpYaLABfBQ5FQHx3H15rTG5,16unMcYpWx57rBX21euqYcThy7ANbg7JLB,148541,164060
16GUuMsyPgV28BXpRsAvGmcLhyd6RkSJjT,321Boag5WVNArZm4FtTK14rEksdcCmWehP,890480,29222
1HDRXWqescAH4QbvjfmxdTBXt5NyYP6dA4,1frwRnDsWfqwQ5u1bdddFK1rzWwEu1TNf,1024179,29475
1CBfTgauT2xeuBiZYc8NJ6tT1tHJVHCWpE,1D6nNwJmNzUoaJSxg3o87g2M6R7fRaWE7w,80327,29475
1MFCFiWFGsYqUqsQ4G6XXixn42MGrr2Mjz,18XYy9dnisaS3viCTJo9zoEsTw5L2GrJ7R,5799,48620
12nSMB18r5tZ1ewbq16KGKyoHHExy3AZgZ,13UdNDGdi9ex8Nvz8QDnKV6oeNwCVK1r2Q,193709,48620
1KJAmM7toZbTS96ogxom4UqzTyrr8VVk4v,1MpUXc1qehtZWP3JxHXDxaSefNBtYi1MeD,52377,38148
13edegv6v67vnY7khEbNbVcXvsEtVaxvzo,1F2bTaqbGrZNpNYauZFBu4odhKrxVLU4Jn,4890542,35482
3NrDQeYym8SenkhhjwsEBtCgW1DEAyCHDS,1HqyNd4cvHrm1xHhkF5YZNWVSGL6aSrtVs,690000,234522
1AxmxuaKKKjG1F2gCTsBU5pPo77wDAQeVe,1EngspHZ6x3z6kq4wc7vfoK5KUVfY2qSTW,9719,55759
1PLfR4naErbW4zCtkTmJCMtPtmhpYExoPN,3MrE13csWUebUEAnj6bfAZhTSZo3TDxTyH,137897,29050
15R6xgAEdAE6QZQfe7c9aahqt5EnQTkpNp,1Kpj2R7cnQ3dzrs6ZizztHuLkffviyNgpw,132641,44147
1FNNfAzjGnjbahHhpAFdtx5izT22KwL78Z,1Kjyj3mPwfwVUsArSim78kFkrdrfWtJGXA,583469,24860
365U2edESfyMRGNzWqEbJwpmNhPxjzFQ9B,1AopmFoSZLTXc2ZGEk9xxKvQEMKZBTQd3z,100000000,114264
14C6vrF5ViSxn4zDZw9t9ycuQH18cWjR9z,1N1ugsMtc9tqsDWk5Z7K9ikUhkJxFgPkR3,934490,48620
1MxXXdiTKnFnPw9MY6nvHZpKVeJNztXkE5,1MX6Mu42FK7AGaP1SsSMfuMZkHcAmPrGGu,189220,29380
38sVAEP6Cge8eKP2fWbH2EskMQjreikJni,17c8Xu1hVKfLW4gvtzoaiB9Sfpi8xJRoJH,835000,33670
1Ggx3yScEtzbrVkyCTYSKFttpBrGnvH13p,14xNet7ypvkxgjXv4HU1UgqX54oUekBFcm,49772849,24830
1KZxdqLXsR1yP57PUqguL4umA9CLvXHPMf,14QWwdxmUEGRduDhFxowCAUGRU1fDtwAB9,65326,29380
3GvryXuzLhJUkYTAJD9VFzaMUsVKM91it3,33DymNqjwe5vX9yMwkchZEuVRmoaWpBeDz,967341,33670
186HPajX97ZucFBkPktzcwfxGcjuUYBQb8,36bMG2WLMZMf81pDjQ9xh42ok7YWzUnNyU,294418,28990
1E2DVUDVrdQbmQFn1qY2Yr6LGGgBKzWkDK,36MXDwWaNj3CAd9rG1aUoCqkraMLKoGhG5,5050,29120
18PtSgpjphjXaZKZ1wzTLtJPNhMABF8o7u,1JmiKbaqo9YSvingL8PdainKsJnuzgFywX,364474,29250
1NoVz4k2DwgWNWxe6FnP98hXPmH88dBtoe,3JopeKk7hKELxJSynMC1Zt2wApwXPKAZhW,346217,28990
18LTKh4kGvs4RPYbs5Vvu4MKhXn9h1qcAe,144QH2oMts2tLjADH8CLnbypUspmzarcks,231399,29380
1EoDwYkKQFyBQYvGapwwiZH5nbKkt7eqXs,1MYV4SE9zmptdT7u9V2Q9ADhKeFA3mKHGi,50204,29250
3LJcr3WL1zM6NR2kawRZTxWcbAqVMraFhw,3MjmLnKZu6WFJF4QThWWbuPHcexD9JHg75,1421617,21840
17FpkSeojwQkmgQmf7SvpAPzzJaAGRPEzb,1B1Uzj9ajhs7e7HiYqzfyk8d8H5MRPxaE8,4305,29380
1Fbz8qvcA1qtv8QPonsgNqGTGuP4gn3EqR,12999mqCuCScPw8sfgsCQGqaQ3nFPDx7cQ,100803,29380
19TS4NqD7LjCmUtyu5mYCf6sVzAJUCUcE4,16qhV7VTV32Jjb2X2b5ASxmqZZ2SEQLt8X,134923,67775
15FnDRxoqrhSdcvXUf3WSjVjom53ccYHM6,1WNWuy9Hz4eNCDAWH98Kb248XjVj18y6Q,23628,3384
139TyY3uXrdVFaT9J5kByChkhcfWCDpZZW,18oAiMVUt3x61jJp3LWaparXGEWZY5Wygv,43134354,414000
bc1q8uaf26qh62hqrq2hx93567lp7wawtfa2kq2xs6,bc1qpxpfkj87svl8tdpsdh2fae7yfjcjrn3az9cw6p,1363517,22969
1DAVVAEwU65nwjW5RTNGa1vBtSm8Eap7gH,3HZaanzzopfo6iuBHoFzCpnSTxPje31c2G,95922,43860
37ad5g9hTqhScMgP13vySkTpzdzdYtEzJM,3K4PjPwcoBZjpQ89UfVozeDDSSDZPxMU1Y,99968676,45804
1162fsHrg6AnLM4sPJwHGJvwZjUMwY9BX7,35KaxzbBhUSFE1DCYsKUdPjvHwvjPkgRKz,300000,28928
1J58kVQBJGdQdEQgiDkaJRzE4byQ7LK9Gp,1DdMZkyKXD71QhjXEhVoL3m1KW1QiHRN9v,52202,24768
1N1KcYGYz5hqJLwBoEdhMeU6YF3k3fDA6W,1EDgv84QqfN5yqLYzCTAdNeKQascmrqohY,251862,24768
17Myh9wtJopekb9M3HzpxgtQGX47URwDpj,1JKHAn5pqA6cG4j95Zjq8f4JGiHo96qSxE,27449,48360
3K6qnPCquiyzPMNFf7J2ubTsqa2hEXEYTa,bc1qgcwjhe86dnwatun8x6vtqxqndlkqf7sef6nptz,117203,27612
3NCsjuVaswKRttpNqJSW6umdm23cDfZk63,bc1q777saqrr30444ewhktkueg54wx80j3ympatud5,26279862,27612
387kCuZJqfwBNBhDJJeRH4BKBVNaCohfPH,31zJwEdtwz7y9eEjbGWRVmSJn4QY5PybyG,28800038,27612
3JbZybxLyPw9ofjH7EJjQ1zJk9fmkyWhXN,32TpbFApVqJSN6TWpL8bK8AkdJmxN1Ajaa,258676,27741
34PnhABiHSYq4DJPJH93C5kFu5iCZ3JSXz,3H1Eizwmkuvt7VJoJnNEfYGpoqDezNaGt3,1093058,27741
3G9YRbExWPtz3aLXwZMQLseDfnSbKK9z2H,32q6umxgWRgkQuZJ1DeqLkbeyZYnwDHyDN,157784,27741
3Lbt6kSXWYLJ7tWJ2QwEXgGQwvya3k8LTF,3DmkZaD2nbMowudUjEv9XV5BJmQTcHsqBP,145865,27741
3QCt4coYFSMB9nzCzJCqieqZWcd5QWU6fo,3QCLEtVvAiAd9kspuUxYR7nYxn2VLKF8cD,1103927,27741
3Ctw1eKWtzuCVUZQcBfX7WUMRwqLE7Jgqi,33a5Mqdajkbce4TxScMEjWzVsHDCDc8V5V,19968676,27741
3CK4NoQgYgMqSbKp1t4dmZdJxDhEk2gG9h,38KikdnSgsnJNCdQqSYyeyYwLZ1McKtQRs,112587,27741
3Fhk53sFxs2N4Yz7qievAoLmkoqpLF11RY,1EY8358u8B2YvRZF4S5FjaVNR5Uixw5sKS,1568676,27999
32TeCsnc5NmkQKdzn9os4QVReqJmqgNuME,17um9QVDFEtyRYvGvtFfhNdgkQhr6vSpEy,2622694,27999
3Chv8na8c6Epu5dJZmZHd4bQrPBATnfeK4,1HWo6QByfusES37PJ5H1fgYPdTeoTudD6M,2038676,27999
386CPVMjUEZqBNQU1RPwgS89nj4JNRT7eu,37UvSVFp7XNkPj6ZUqQMSydsh9XXdNapLZ,16691799,27999
35cpFdPHJw2mn7Q5fPhkWbhY6TvEYHeLwW,1suga7exPaT3B6JRdkR9sd6eK37Jvdjmw,2160776,27999
1Agv71fjj6JjWWzmcBiCS5DdBw51KKPhMr,144yXfxq9kj1wGvmtwNV6JP2sdJPxkwWHo,21107634,29154
1QExZ296RZFZQpnoVgGvsqctMmQfpkNffr,1nZzVFhf9NRWxbYHiW7kRPcRafdrR3Fan,99495,24875
3Hv8dJ5SRLQayDmfGTiCEi2LSKM92FEQZM,38mVqdFSBUQmZ5TjbhV4LXLrsXMGLCRAos,151102,31870
1Na8CMq1qpbHYSbGByyxjC359dQoj1Q9q4,17Arrq249upBtQF4TMqTgrp4zAqYDRK8SM,1096049,24860
17CYzBDPmQoTSVxtbPXwZyoziKHuC2cCde,3FSb1JUEtvLbLvQzde9HPrRQtE4bfbTqr2,88360,28990
3HyQQH44Gnfng443Knnhhm3CeWaaueAo8W,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,258378194,43998
37vYRbuptTtET8LbHgn1UHLMY6hbDc65zm,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,9956002,43998
3GCUHD9v6AjoxaJgp8kiYt7XBgBMAmC7He,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,34554069,43998
3MV8kkTjTLUvc3P4qA8sgUMSa3byGNr1T1,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,1638875,43998
3QbnrgHcD94iT8MAoGiEKE5ZVvnjy43FYY,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,21456002,43998
3KbECnQD3KLhXA8CTm5CyEKKyiVzE2tq6L,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,3918066,43998
3EPnYyjfrEs6N9oLWYNhNRYyAJydTrrdH8,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,366348,43998
3Mmz4H36HqeMpC52mesL5KeaPE47BxK33p,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,19956002,43998
36VrSrVMt9Ly7Yw72XXdjj9UB1R836zaiH,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,73956002,43998
3QBBmXqhQSRFgMgUs1iKYQDFiP5YjLtV48,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,227568,43998
3PSXcvT4CBMwPYCjpxLPGMT5DwvL2q7xvK,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,46134628,43998
3QTfpeoWwaABCH6kat1GDzLXgmNon27RuF,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,5682263,43998
33EPjhLkVRbNdt9xazQS8VYy9SPQQ5fQmU,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,1553578,43998
3DGRkbU6SXsHbkScuHmPtLxoUTHKrxz4St,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,49956002,43998
3BuuyoUL4iHRsZvnBHrsoc4uoRWC4Lx8Sy,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,1190147,43998
33WVufmPq7UaDSdjQRTxzrgkoB3bktg2Xv,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,4140091,43998
33KHhdYecSzSMc82RL1GSpCxpi3HP5Jam7,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,6738553,43998
1MRYNpdsXV5idDbpvr3CqfRVBoZNpuN6i4,18HzRH5r97sCazwg4S6JwGXrftgfHHJykK,43242478,139320
1CaebBpuFiRqh61BCudnnyw6KkAN84Mbmj,13e1SYf9V52xc3KLnycky4sqbHWpTM9msK,84672,25651
1Bxnudj9V1JDxuvdTURCVnhfxD7Y1unNHf,1LoakRoVzNnbT4Ka3GkvjcmR6K2G7rDMGN,745920,32688
3MAZsMLEB7yEX66jA53kXrg2v3tXdzx3pr,3GwyiPUAbz7seC6E43twEUrw8nzLL1Yqjz,5721257,15210
32ayf9GdaTL66jcGqfn58UAye5nDvipamL,1NZXVFSQbL7rhdHTpjNyEhch5YqeJwRtPG,18781653,24282
3FTdsQvKpspMsXDDFjDv7TLSrr9gQiBn7k,38qgfN83jdPnxNmBJ9VXWVTSC5KAEr5mBq,3015197,25181
3MkNiYLZm5isSyAhqx2CSzguYiWSFCRxKB,3FJZ5DsuVyKmja1ovxJTsxwEaY6iSJUTG6,408742,56644
bc1q3mhh5tk4ylaxuaysgjatk38h9s7uwqp9wy8mjc,15D7LLEcbNEmC5UeTpNM5GKJmzV4AvCyMi,9985393,14607
3MKxzFrQwTfGoBVMpbQXJnpj23CfqYWt7d,37Zwdc1xnbKLNJpeVXyNKygZJMHjE7y4br,184265,17320
34BxdXUqr6j5EeQtUsQ5bUQrXTj7eqdoif,37StjB1CkQnCrU16ow6WQP2zDFS7Es4V5g,60579309,193733
3QsdxfA6Tpw63q3tChoQTccvMpDpVE4a13,3GSgnJwhvNp9sPmqiBZgmiuL1oDbuNcCGH,2017470,21450
1FPX3wpsZcH9ywGEsvFyxgcmrYo55LXcW7,1HckjUpRGcrrRAtFaaCAUaGjsPx9oYmLaZ,49475,52200
15G2qdLdCkKLUz3qRN8XouZk2UXrZZVj88,1HckjUpRGcrrRAtFaaCAUaGjsPx9oYmLaZ,49191,52200
1J7onXEjhdBEs9ho9FgXWT5rk8mBtRmDS8,1HckjUpRGcrrRAtFaaCAUaGjsPx9oYmLaZ,49191,52200
bc1q0an2vhu3hzfqyqktnharj7p7ckqkc0cuhqnav0,bc1q4jyr6gmwl2hs2hlycuz6kv7jgpsqdyqxsxdf4ss4sudq0avkujjsq3zfsp,30000000,19768
3NASfMZ2ADPFMszW6YwcE95N4wnQUTJPCa,3D5DLWzCbwfFLNBdV124Fzch9gBA2gEJeu,150789960,27640
3EWMNTYoC64VnJc3xLFto8JiPc4jU3AFvL,35rBpKKSwwyXSDMECSeZbm5XuouHL33CLV,1868270,27640
39XKZSBhvyConz36QgB3qu36TsKiG1M5VR,3Js5C4h9rLMMURARhWPPqtwTBtAoLqWeei,2157347,27640
31kvEA8abS9uUT6h4LAhK3MZ7WsViaVy6N,35sAVXVjFUHRydUHyPKz3RkK39Zwz6pTin,152000,27640
1MPZFeBvZ3LLo8nKbirJeXJuWu1xFDhBXZ,3DywRdjNZoNMZhnaGPuQK88a58WoaGWhyZ,71489,24411
3F1ZRKSNU4335xciyj5o7m7xZas8qJzXJn,1NUyAauNVmg29vvf49dYaNgy2qvnjGa8FA,5271200,27897
1Q2HYZfhrMfMUdBrN6upNsG9Sc4YRaTd8Q,17ghgMNgV8nV8jahTvj3hA4Hju244zTb7F,1415777,24796
19LAHHCms2vUh9FiEuzCHfVGPWBbuKHfmR,3LYMXDu6Z9e4cic4UFayf2QUEXUEz47vvF,42421,24408
16kDKF2VbYYtWDqNohJSyUzfN1R3yfRpwq,162ChVXzZa1XDvVApxRZ7hKVdjkqqSTH9w,200203,29050
142mVv8ufcHCbeLb3iYr2mJuJfyXrEm2UK,14XR4ASMSMzXxaYaQn1xiFUWsQJB5GRSHZ,985266,29049
19hei8pxLwS6Yiw2ajFRagX8VE3FLW14pr,3JJv6ntnsEqFJUfZqUoPMn33t3hripgFJ2,105432,62478
1JFrVwmZD91xUQSQRYrSSCGXDfgAvKuaMw,1GYKTxZ1tXNX2o4GVRaTfCxriWLy4VMAoJ,60481,25538
1AWXmLzLeZFyjKkHkQk41h6qiHk9YEkhxg,1DGb56DjMfDXPWxb7TbYuFcjdxsHpERMuR,20163,32544
185mAdj6Q8C4F8C38FobJBmBpkJMYkXuyQ,3E5ZHGgAQSJrVTqXAnZvxyTUyvf98WWGyi,5780617,24383
1M6s57bF5h1876wwuLP3kxuyfUqAHiBDi3,379Q3jJ6uqJ5DC8FuwKt8tK2Yyacw3YnBn,943980,24511
13sorN2VgDjky5FvmjYszhJsJDKB22aqeg,12Mx8C2KitkQVoM6UBBozkyUVtfhwSPtZa,541109,25990
1NXvTwNXZPY1zvbui41UUPxUzAvYFhT7xW,18aebPsvYc3BwNthzVVmCkXSo3zW5vL6rd,8004,32318
3Djr6G3f7Gf5FX9TPJ2r1D73mQN1gJyWrF,1BQDEgfTe1iv8xwAKro3oxA93utZZWzZNX,4130723,21672
3Cd4RS27Rh6W1G3hNAs6VZJn9cfUUhLfsn,32ibp3LXg8rj6ybxbeXKiERcQQ1SVwfh66,617693,21414
3AuWEVK5cLUDKHF35JVQSzZ9ggCAxagV9U,14y9q4GQbdpr9Mnh8hmKaBi9qNbtJs1Cdj,3773000,33282
3NCnPCQ1u2VZZ6QGb1B5CzwinNw1ZZ45JS,3Q2T9AUBsC6DSKKuvadM4NymupadPosqrM,12243651,21672
1Pw22tAb8NbZ1ZUETt4MTKCnLpp7PgsPmj,1Kj6cnkkZph2YXhFXSYsGp985vtMQC6sGB,21690898,29154
34RfDg1nRLtA6baFurTkygEEGm6k3N4XxS,31ngdNHSsZ6P9uFdLenHKvXu4so1T8KGM6,14232182,21672
1HQV81YwW9njP2pJNUNFGDfo8Sw1uKAwom,12K5uokgfxJf4chPhKoLdJRa4K492sjB81,602855,29154
1A9vN4PoyR1Qena4tE5kVwgancaycfmqRz,1LH79tupwMYVtPpJfzjMJQjSMmpJVs31D1,1724087,24768
1E3aCKfUqViQqMGBgYB6ygeJkBRj2mzrUd,1GS1Sk2YytAUtN4sc52D5niCCBVTAAqZ14,2000000,29154
38uyzDMMX1YtXiXtMaRoDbrBYk8V36B2uj,17PFZeZTpzMHRZhCNAqDNqGWSFckgjgPEm,2760935,21672
3NcRz8NNbgtUxjmtGSsEVpboEd8yVFFGj1,1EyHZM9qpFnfo8d5Epp4nAvonyEHuZxjFX,2950000,122800
3HrgMNAv5pWPB8vvZPZFE5VsXgZ2kYGP6f,1FE7WVyTzva5UA54HHp8cZqb8dMbMioS2F,91342,123156
3CaVTzkcy475xLH1GGDmu9s6mQAwSxSFb3,1NPiGzRSDxWpLqKVndv8hWXyyBuMDLEDUU,91347,83202
3AGdyBp4qhwYjSUTREt2wtXurogRiAHK3M,3Gq9FiDsHiNS5rPcnij8MtMkWwVuwcqnYa,234161,17275
1HviG6dwyx5hU6ausJATKcT6UFf7T2QUDv,1HckjUpRGcrrRAtFaaCAUaGjsPx9oYmLaZ,49191,52200
3EnS2BxRBPHJdKxHQufK3z7vCqoFwdiiXu,1GdRwtGo8LaU9DSgYSEv9zaa84TJbfE5uZ,91294,65564
139Tpgt6zpYib25gW8GBKc43C98cdefibE,1PDUSZ1DLgyBoYVnvoLXCY6uKZuiLoUH5H,6711097,25990
1PDUSZ1DLgyBoYVnvoLXCY6uKZuiLoUH5H,18YzmTjmrtM6RpSfEATdr3keihmDLV48X7,2921334,32092
3HG13tZMgkWXWeJFLoT4DtED5vzvhjkZRK,1MEcJwN9NNYKXJYCPRdwpGpZhxgxB7f38B,91294,73791
3Bw7AKfgXFgyko2RjkGs97zAG3K55mEZ9H,3NdtNY4v9rQbo1fW5krAPA2vAuj7k7jE2c,91650,74691
3JJwoUDJguzQCmra4nyUd6sf9d2nrqH8KH,1FTcmWCvCsSfNYN5trZ6TBeAoSWoMnLbcR,91294,78034
39V72VfWyxRV3G7aikto3axVtvAZpKg5TK,16LYBwJFoCsfBKtPbj1jYEtnpypeuNvNXN,92729,91018
35oDnDjKD1H4ya7t2VaqfmBFNqxCxGfEJS,3GhPgDUx5E6KkVEoup4LRtPiC8H3CcT6vc,94849,95903
31kiqGJNk9zPS7PkqCZb4vb3hQx8kJ1cxz,33sjn5DNttLHXYutiUR8HCb65hMjyjSDfV,91297,98602
3Kg3wUG6qSn4YkNpFWcJPQ1v99ihgj3AfL,1FAHthwvcBfPxkxcXeVT7S6t96iP4fEFmQ,90801,103488
3AzanXp47BRjwcN5fEdghKkfKXQkejpkYy,bc1qck78p2hlkqap499h7rl7ewfy3xd2pvcc2vkx7t,94405,107087
38hjGcaHm8B3EApJwzsUhAC8vyQLfeUu8a,3NHZtTvnJzwWKjiAUdMEYczE4JSyfssGZz,91713,107087
1PMugdV63kc4gJSgkJMMi2oWtyAbaYQ3zX,3MU2eSpVhUZwRNmmKUEWGAr6rvUbnQg9Jp,42337,28702
19skBu1FmhRyKNNLUBqmEgpPsuaNQMH4Uo,1NXA4Z663jvVXTkkR71QdY6XxRn4WLsSLF,791380,28702
181sAyBpdhrXKr81BRJhp6kiGyNUi9RB8a,12C9GwfidDR6FNmWS1okS1GqEVcoqENPK8,2871997,28702
1L3yi1w61toMvGuCEyDu4W2nhhN1DWtqyY,3CyBdP3opJG2zqQhf5idEC2qJjkdcG9MFA,1572480,28829
3715d97GWWRJs5J5QLRL8S15SZkwKD6B4i,1EMkFUFV8chQUASrYeqGWy5VCGKHgrYrDN,90830,119943
